order_id,order_date,customer_id,product,category,quantity,unit_price,discount,city,channel,payment_method,returned,revenue
20597,2024-01-01,CUST-02643,Pixel Webcam,Periféricos,1,33.67,0.05,Buenos Aires,Tienda,Tarjeta,0,31.99
21262,2024-01-01,CUST-03638,Pixel Webcam,Periféricos,1,35.81,0.0,Buenos Aires,Marketplace,Efectivo,0,35.81
21252,2024-01-01,CUST-02446,Pulse Fitness Band,Wearables,2,48.45,0.0,Buenos Aires,Online,Efectivo,0,96.9
20487,2024-01-01,CUST-02623,Pulse Fitness Band,Wearables,1,50.69,0.0,Mendoza,Tienda,Tarjeta,0,50.69
21011,2024-01-01,CUST-04238,Pixel Webcam,Periféricos,1,36.19,0.0,Córdoba,Tienda,Efectivo,0,36.19
21287,2024-01-01,CUST-01235,Pixel Webcam,Periféricos,1,33.71,0.05,Buenos Aires,Tienda,Tarjeta,0,32.02
21017,2024-01-01,CUST-02447,Aurora Headphones,Audio,1,41.39,0.0,La Plata,Online,Efectivo,0,41.39
21569,2024-01-01,CUST-02221,Pulse Fitness Band,Wearables,1,49.79,0.0,Buenos Aires,Online,Tarjeta,0,49.79
21173,2024-01-01,CUST-04588,Terra USB-C Hub,Accesorios,1,29.07,0.1,Buenos Aires,Online,Tarjeta,0,26.16
21909,2024-01-01,CUST-01999,Pulse Fitness Band,Wearables,1,47.97,0.0,Mendoza,Tienda,Tarjeta,0,47.97
21729,2024-01-01,CUST-01318,Lumen Smartwatch,Wearables,1,81.73,0.0,La Plata,Online,Tarjeta,0,81.73
21689,2024-01-01,CUST-00628,Aurora Headphones,Audio,1,42.28,0.0,Mendoza,Online,Tarjeta,1,42.28
20150,2024-01-01,CUST-00575,Nimbus Keyboard,Periféricos,2,46.13,0.05,Buenos Aires,Online,Tarjeta,1,87.65
21186,2024-01-02,CUST-03359,Aurora Headphones,Audio,1,38.86,0.0,Buenos Aires,Tienda,Tarjeta,0,38.86
20398,2024-01-02,CUST-00732,Aurora Headphones,Audio,1,39.46,0.0,Mendoza,Tienda,Transferencia,1,39.46
20244,2024-01-02,CUST-00771,Terra USB-C Hub,Accesorios,1,29.05,0.1,Buenos Aires,Online,Tarjeta,0,26.14
20537,2024-01-02,CUST-00329,Orbit Speaker,Audio,1,59.64,0.05,Buenos Aires,Online,Transferencia,0,56.66
20950,2024-01-02,CUST-03011,Pixel Webcam,Periféricos,1,35.77,0.05,La Plata,Online,Tarjeta,0,33.98
20172,2024-01-02,CUST-02191,Terra USB-C Hub,Accesorios,1,28.04,0.0,Córdoba,Online,Efectivo,1,28.04
20190,2024-01-02,CUST-02231,Pulse Fitness Band,Wearables,1,52.47,0.1,Buenos Aires,Online,Tarjeta,0,47.22
20655,2024-01-02,CUST-01889,Terra USB-C Hub,Accesorios,1,30.07,0.0,Mendoza,Marketplace,Transferencia,0,30.07
20194,2024-01-02,CUST-01725,Orbit Speaker,Audio,2,55.05,0.05,Mendoza,Tienda,Tarjeta,0,104.59
20455,2024-01-03,CUST-04676,Zen Laptop Stand,Accesorios,2,23.9,0.0,Buenos Aires,Online,Tarjeta,0,47.8
